"","da","pa","qa","pg","qg","RMSE","AIC"
"205",0,1,6,2,2,0.0898300882048759,-3.31009078759418
"206",0,1,6,2,3,0.0898370683856119,-3.31062242218388
"207",0,1,6,3,0,0.0897008499373376,-3.09905130381167
"208",0,1,6,3,1,0.089831345311141,-3.30961078589827
"209",0,1,6,3,2,0.0898296386349729,-3.30993251590825
"210",0,1,6,3,3,0.0898422353440586,-3.30189012033601
"211",0,1,7,0,1,0.0898984564164408,-2.80329190440491
"212",0,1,7,0,2,0.0899010232572726,-2.80313371473266
"213",0,1,7,0,3,0.0898916778496139,-2.80297499209201
"214",0,1,7,1,0,0.0898815985410225,-2.93042104855862
"215",0,1,7,1,1,0.0898174211741574,-3.30964077844985
"216",0,1,7,1,2,0.0898174539165601,-3.30950882518128
"217",0,1,7,1,3,0.0898191552679892,-3.3096163712503
"218",0,1,7,2,0,0.0901517667407675,-3.00978965193989
"219",0,1,7,2,1,0.0898796560528821,-3.30039188916767
"220",0,1,7,2,2,0.0898207222602303,-3.30981250030256
"221",0,1,7,2,3,0.0897572227449667,-3.30118328878505
"222",0,1,7,3,0,0.0897064925947108,-3.09881724647371
"223",0,1,7,3,1,0.0898174139519722,-3.30932423828449
"224",0,1,7,3,2,0.0897644344436921,-3.3008354360817
"225",0,1,7,3,3,0.089785918874422,-3.30157185976221
"226",0,2,0,0,1,0.0899153992783593,-2.80287434856319
"227",0,2,0,0,2,0.0898918386238273,-2.8027215229009
"228",0,2,0,0,3,0.0898979810884204,-2.80256295430936
"229",0,2,0,1,0,0.0898451449502166,-2.93848172074075
"230",0,2,0,1,1,0.0897939410407565,-3.31043376187682
"231",0,2,0,1,2,0.0899123017032527,-3.25074930144082
"232",0,2,0,1,3,0.0897944763230125,-3.31028213745304
"233",0,2,0,2,0,0.0898780661697212,-3.0000962142793
"234",0,2,0,2,1,0.0898020752347571,-3.27108847182681
"235",0,2,0,2,2,0.0897923852758443,-3.31059146813728
"236",0,2,0,2,3,0.0900072987954018,-3.2745531348615
"237",0,2,0,3,0,0.0897542826568713,-3.09942773734761
"238",0,2,0,3,1,0.0897934417727912,-3.30998908540141
"239",0,2,0,3,3,0.0898119725445027,-3.31136975337709
"240",0,2,1,0,1,0.0899242432116064,-2.80339677624239
"241",0,2,1,0,2,0.0899240298976375,-2.80323853583019
"242",0,2,1,0,3,0.0899235802439707,-2.80308034515
"243",0,2,1,1,0,0.0899623548438942,-2.93896212707774
"244",0,2,1,1,1,0.089807510308357,-3.31054290035331
"245",0,2,1,1,2,0.0898079348465311,-3.31041283357908
"246",0,2,1,2,0,0.0898531440079573,-3.01824266652827
"247",0,2,1,2,1,0.0898538984824049,-3.21429513432725
"248",0,2,1,2,3,0.0898125026281446,-3.31110378841004
"249",0,2,1,3,0,0.0897583623304726,-3.09927823036967
